Student_Id,Sem,subject code,subject,subject_short,grade,credits
21pa1a6101,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6101,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6101,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6102,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6102,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6102,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6103,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6103,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6103,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6104,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6104,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6104,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6105,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6105,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6105,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6106,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6106,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6106,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6107,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6107,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6107,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6108,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6108,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6108,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6109,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6109,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6109,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6110,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6110,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6110,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6111,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6111,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6111,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6112,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6112,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6112,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6113,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6113,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6113,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6114,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6114,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6114,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6115,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6115,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6115,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6116,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6116,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6116,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6117,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6117,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6117,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6118,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6118,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6119,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6119,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6119,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6120,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6120,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6120,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6121,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6121,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6121,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6122,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6122,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6122,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6123,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6123,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6124,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6124,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6124,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6125,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6125,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6125,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6126,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6126,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6126,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6127,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6127,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6127,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6128,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6128,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6128,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6129,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6129,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
